Time,X,Y,Z
637530062138636400, -0.4332165, 43.42981, -8.134956
637530062138836960, 0.03792743, 43.31303, -8.023866
637530062139036650, -0.1041128, 43.14717, -8.025042
637530062139243620, -0.4099019, 43.34817, -7.547035
637530062139440260, -0.2319815, 43.19921, -8.028966
637530062139644890, -0.1158527, 42.9279, -8.119908
637530062139847330, -0.381313, 43.03753, -7.737294
637530062140047210, -0.5397884, 43.17537, -8.036291
637530062140248340, -0.2058214, 42.88996, -8.121609
637530062140447040, -0.2485819, 42.98272, -7.928601
637530062140648240, -0.3243809, 43.16267, -7.93305
637530062140849030, -0.3292424, 43.16544, -7.737818
637530062141050340, -0.4216428, 43.1289, -7.641902
637530062141251110, -0.2698805, 43.28919, -8.031191
637530062141452850, -0.1327017, 43.45782, -7.834783
637530062141654680, -0.87149, 42.9392, -7.650403
637530062141856370, 0.0616558, 43.00517, -8.018891
637530062142057050, 0.2602134, 43.52238, -7.630526
637530062142258670, 0.1185879, 43.1303, -8.214648
637530062142460400, 0.05922505, 43.00656, -7.921275
637530062142665860, -0.2723112, 43.29058, -7.933575
637530062142862190, 0.002459168, 43.40162, -8.123707
637530062143063840, -0.06135134, 43.05442, -8.218049
637530062143265080, -0.02143544, 43.18928, -7.730493
637530062143467720, 0.08068796, 43.22028, -8.216873
637530062143668250, -0.05892059, 43.05303, -8.315664
637530062143872520, 0.2440249, 43.07965, -8.113108
637530062144073080, 0.1254654, 43.35236, -7.924549
637530062144274520, -0.1916517, 43.10785, -8.124357
637530062144477160, 2.841651E-05, 43.403, -8.026091
637530062144677980, -0.0520422, 43.27509, -8.025566
637530062144879630, 0.1254654, 43.35236, -7.924549
637530062145081490, -0.06176521, 43.28065, -7.635101
637530062145281250, -0.06621285, 43.0572, -8.022817
637530062145482860, -0.2319815, 43.19921, -8.028966
637530062145687950, -0.01171243, 43.18372, -8.120957
637530062145888530, -0.0378706, 43.49298, -8.028315
637530062146085900, -0.1373156, 42.71418, -7.82431
637530062146290990, -0.2651843, 42.76622, -7.828235
637530062146492580, -0.2319815, 43.19921, -8.028966
637530062146694140, -0.4003452, 42.82242, -7.539312
637530062146895700, -0.5069172, 42.56798, -7.440647
637530062147098600, -0.1634747, 43.02343, -7.731668
637530062147306690, 0.002459168, 43.40162, -8.123707
637530062147503490, 0.2936648, 43.20896, -8.016016
637530062147707590, 0.1351884, 43.3468, -8.315014
637530062147906860, 0.2036951, 43.17102, -8.017715
637530062148104860, -0.2791896, 43.06852, -8.223674
637530062148309810, -0.1160994, 43.67432, -7.935148
637530062148506210, -0.1633085, 43.54362, -8.129856
637530062148708210, -0.1634747, 43.02343, -7.731668
637530062148911840, -0.1965132, 43.11063, -7.929125
637530062149107970, -0.00928168, 43.18233, -8.218574
637530062149307600, -0.6176043, 43.13049, -8.526073
637530062149508000, -0.5043201, 43.08679, -7.93645
637530062149716720, -0.2129484, 43.41432, -8.226948
637530062149913030, -0.3434131, 42.94756, -7.735069
637530062150114220, -0.0876767, 42.84348, -7.727219
637530062150315520, -0.07333887, 43.58157, -8.128156
637530062150517420, 0.1443332, 43.04728, -7.724343
637530062150719230, 0.1327576, 43.34819, -8.217398
637530062150919500, 0.2134181, 43.16546, -8.40818
637530062151121220, -0.1322888, 43.23159, -8.41773
637530062151327220, 0.2464556, 43.07827, -8.210724
637530062151526670, -0.3312593, 42.94061, -8.223149
637530062151726030, -0.2175622, 42.67068, -8.216475
637530062151926970, 0.06651731, 43.00239, -8.214124
637530062152127530, 0.2557648, 43.29893, -8.01824
637530062152329640, -0.6297581, 43.13743, -8.037992
637530062152530790, -0.2982218, 42.85341, -8.025692
637530062152732830, -0.3030833, 42.85619, -7.83046
637530062152934040, 0.03347979, 43.08958, -8.411581
637530062153135360, 0.1491947, 43.0445, -7.919575
637530062153336790, 0.1301616, 42.82938, -7.721594
637530062153538560, 0.1044163, 42.91241, -8.211899
637530062153777420, 0.1112957, 43.13447, -7.9218
637530062153943680, 0.2032812, 43.39725, -7.434769
637530062154142490, -0.1468733, 43.23993, -7.832034
637530062154343520, 0.3125306, 42.90387, -7.815809
637530062154545550, 0.04521969, 43.30886, -8.316713
637530062154746570, 0.1206039, 43.35514, -7.729317
637530062154948930, 0.2819239, 42.98968, -8.110883
637530062155149620, 0.03792743, 43.31303, -8.023866
637530062155354270, 0.4097925, 42.93764, -8.106957
637530062155555450, 0.1773707, 42.96008, -7.526886
637530062155755020, -0.1065436, 43.14857, -7.927425
637530062155961300, 0.1633644, 43.26238, -7.922324
637530062156165060, 0.08756635, 43.44233, -7.926774
637530062156360540, -0.1138358, 43.15274, -7.634577
637530062156567250, -0.08751047, 43.36367, -8.125406
637530062156770970, 0.1254654, 43.35236, -7.924549
637530062156972290, -0.2630011, 43.51125, -7.741092
637530062157172980, -0.1774801, 43.32574, -8.127107
637530062157372310, -0.4216428, 43.1289, -7.641902
637530062157576950, -0.5257831, 42.87307, -7.640853
637530062157778040, -0.4546803, 43.21609, -7.839359
637530062157980530, -0.1799109, 43.32713, -8.02949
637530062158180870, -0.4688519, 42.9982, -7.836609
637530062158382120, -0.4451236, 42.69034, -7.831635
637530062158585700, -0.2344122, 43.20061, -7.93135
637530062158784530, -0.1657393, 43.54501, -8.03224
637530062158984570, -0.06621285, 43.0572, -8.022817
637530062159186400, -0.3695722, 43.25681, -7.642427
637530062159387650, 0.01201594, 42.87586, -8.115983
637530062159590170, -0.1630609, 42.7972, -8.314615
637530062159788520, -0.3030833, 42.85619, -7.83046
637530062159994120, -0.1468733, 43.23993, -7.832034
637530062160194120, -0.236843, 43.202, -7.833734
637530062160396600, -0.4998716, 43.31023, -7.548736
637530062160597250, -0.0876767, 42.84348, -7.727219
637530062160800270, -0.7197277, 43.09949, -8.039692
637530062161003350, -0.2607357, 42.98966, -7.44052
637530062161208530, -0.3103755, 42.86036, -7.537612
637530062161409380, -0.1468733, 43.23993, -7.832034
637530062161614330, -0.2909295, 42.84924, -8.318541
637530062161806490, -0.1823416, 43.32852, -7.931874
637530062162010540, -0.305514, 42.85758, -7.732844
637530062162208490, -0.87149, 42.9392, -7.650403
637530062162408770, -0.4805918, 42.77893, -7.931477
637530062162610060, 0.2061259, 43.16963, -8.115332
637530062162817110, -0.2577267, 43.28224, -8.519272
637530062163014520, -0.0735051, 43.06137, -7.729968
637530062163216200, -0.04474995, 43.27092, -8.318414
637530062163414920, -0.1799109, 43.32713, -8.02949
637530062163617330, 0.1828104, 43.25126, -8.703254
637530062163821580, 0.1751052, 43.48166, -7.827457
637530062164031120, 0.2391634, 43.08244, -7.917875
637530062164221370, 0.1562393, 43.78674, -8.027664
637530062164427410, 0.1210187, 43.12891, -8.312264
637530062164623580, -0.06176521, 43.28065, -7.635101
637530062164826840, 0.07607313, 42.47663, -8.206401
637530062165028820, -0.161044, 43.02204, -7.829284
637530062165230970, -0.161044, 43.02204, -7.829284
637530062165425800, 0.2960955, 43.20757, -8.113632
637530062165629070, -0.02143544, 43.18928, -7.730493
637530062165834730, 0.01889528, 43.09792, -7.825884
637530062166034730, -0.1041128, 43.14717, -8.025042
637530062166233610, 0.06408656, 43.00378, -8.116508
637530062166439090, 0.5921625, 43.01213, -8.201174
637530062166638210, 0.0616558, 43.00517, -8.018891
637530062166839100, 0.1919552, 42.95174, -8.112583
637530062167042030, 0.1517907, 43.5633, -8.415379
637530062167242800, -0.1351325, 43.45921, -7.737167
637530062167444750, 0.2415941, 43.08104, -8.015491
637530062167646700, 0.4521402, 43.07111, -7.717018
637530062167850020, 0.0567943, 43.00795, -7.823659
637530062168048310, 0.3433037, 43.33826, -7.918924
637530062168250640, 0.01646453, 43.09931, -7.728268
637530062168452050, -0.0287277, 43.19345, -7.437644
637530062168655910, -0.161044, 43.02204, -7.829284
637530062168854350, -0.5302317, 42.64962, -8.028568
637530062169058850, -0.04248543, 42.74934, -8.017842
637530062169260720, -0.1659055, 43.02482, -7.634052
637530062169458740, -0.8782022, 43.23734, -8.33869
637530062169661500, -0.1446079, 42.71835, -7.531462
637530062169864650, -0.1468733, 43.23993, -7.832034
637530062170064700, 0.00488992, 43.40023, -8.221323
